,Barrio
Antonio Narino,"(""Sevilla"",""Policarpa"",""Ciudad Berna"",""Ciudad Jardin"",""Barrio Caracas"",""Restrepo"",""San Antonio"",""Fragua"",""Fragüita"",""Santander"",""Villa Mayor"",""San Jorge Central"",""Cinco de Noviembre"",""Santa Isabel"",""Eduardo Frey"")"
Barrios Unidos,"(""Doce De Octubre"",""El Labrador"",""Entre Rios"",""Jorge Eliecer Gaitan"",""Jose Joaquin Vargas"",""La Libertad"",""Metropolis"",""Popular Modelo"",""Rincon Del Salitre"",""San Fernando"",""San Fernando Occidental"",""San Miguel"",""Simon Bolivar"",""11 De Noviembre"",""Alcazares Norte"",""Baquero"",""Benjamin Herrera"",""Chapinero Noroccidental"",""Colombia"",""Concepcion Norte"",""Juan XXIII"",""La Aurora"",""La Esperanza"",""La Merced Norte. La Paz"",""Los Alcazares"",""Muequeta"",""Polo Club"",""Quinta Mutis"",""Rafael Uribe"",""San Felipe"",""Santa Sofia"",""Siete De Agosto"",""Conjunto Residencial Calla. 100"",""Entre Rios"",""Escuela Militar"",""La Castellana"",""La Patria"",""Los Andes"",""Rionegro"",""Urbanizacion San Martin"",""Villa Calasanz"",""Vizcaya"",""El Rosario"")"
Bosa,"(""El Motorista"",""Industrial"",""Jardines del Apogeo"",""La Ilusion"",""Nuevo Chile"",""Olarte"",""Villas del Rio"",""Andalucia"",""Andalucia II"",""Antonia Santos"",""Argelia"",""Argelia II"",""Bosa"",""Bosques de meryland"",""Brasiia La Estacion"",""Carlos Alban Holguin Nueva Granada"",""Carlos Alban Sector Israelita"",""Carlos Alban Sector Miraflores"",""Carlos Galban"",""Charles de Gaulle"",""Charles de Gaulle II"",""Claretiano"",""El Jardin"",""El Jardin San Eugenio"",""El Libertador"",""El Llanito"",""El Llano (Sector Guzman)"",""El Llano Mz A"",""El Llano Sector Fandino"",""El Palmar"",""El Portal de Bosa"",""El Porvenir"",""El Progreso"",""El Retazo"",""El Toche"",""El Triangulo Sector Materas"",""Getsemani"",""Grancolombiano I"",""Grancolombiano II Laures Mz L3"",""M"",""N"",""P"",""Q"",""Grancolombiano II Sector"",""Gualoche"",""Hermanos Barragan"",""Humberto Valencia"",""Humberto Valencia II"",""Islandia"",""Islandia II"",""Islandia III"",""Islandia IV"",""Israelita"",""Jimenez de Quesada"",""Jimenez de Quesada II Sector"",""Jose Antonio Galan"",""Jose Maria Carbonel I y II Sector"",""La Amistad"",""La Aurora"",""La Azucena"",""La Azucena Mz. A"",""La Azucena Mz. B"",""La Azucena Sector El Triangulo"",""La Cruz de Terreros"",""La Ele II Sector Los Laureles"",""La Esmeralda"",""La Esperanza de Tibanica"",""La Estacion"",""La Estacion Areneras"",""La Estacion Distrital Fca. Raiz"",""La Palestina I"",""La Primavera"",""La Riviera II"",""La Sultana"",""Las Margaritas"",""Las Soltanas"",""Laureles III"",""Laureles La Estacion"",""Llano Oriental"",""Llanos de Bosa"",""Manzanares"",""Miraflores II Sector"",""Mitrani"",""Naranjos El Retrazo"",""Nicolas Escobar"",""Nueva Granada"",""Nueva Granada II Sector"",""Nueva Granada II Sector (Tiboli)"",""Nueva Granada V Sector"",""Pablo VI"",""Palestina"",""Paso Ancho"",""Piamonte I Etapa"",""Primavera Sur"",""Providencia"",""San Eugenio"",""San Eugenio II"",""San Jose Los Naranjos"",""San Judas (B. La Estacion)"",""San Pablo I Sector"",""San Pablo II Sector"",""San Pedro"",""Santa Lucia"",""Sub Sta. Lucia"",""Sub Triangulo Las Materas"",""Sub Urb. Claretiana"",""Tierra Gratis"",""Urb. Acuarela I y II"",""Urb. Tanque de Bosa"",""Verd. Sector San Jose"",""Villa Anay"",""Villa Anni (Bosa Naranjos)"",""Villa Bosa"",""Villa Nohora"",""Xochimilco"",""Amaruc"",""Berlin"",""Berlin de Bosa La Libertad III"",""Betania"",""Bosa Nova"",""Bosa Nova II Sector"",""Bosalinda (Hildebrando Olarte)"",""Brasil II Sector"",""Brasil II Segunda Etapa"",""Brasil Lopez y Pineros"",""Brasil Materas Acacias S. Jorge"",""Brasil Sector Barreto"",""Brasil Sector Portal y Castillo"",""Brasilia 2º Sector"",""Brasilia 3º Sector"",""Brasilia I Sector"",""Campo Hermoso"",""Casa Nueva"",""Chico Sur"",""Chiicala"",""Ciudadela La Libertad II"",""Danubio"",""Danubio Azul I"",""Danubio II"",""Danubio III"",""Diamante Sur"",""Divino Nino"",""El Bosque de Bosa"",""El Cauce"",""El Diamante"",""El Jazmin Sector El Triangulo"",""El Libertador"",""El Libertador II"",""El Paradero"",""El Paraiso"",""El Portal de La Libertad"",""El Portal I y II Sector"",""El Porvenir II Sector"",""El Porvenir III"",""El Porvenir Sector Brasil"",""El Progreso II Sector"",""El Recuerdo 4 A"",""5"",""6"",""7"",""El Recuerdo II"",""El Recuerdo San Bernardino"",""El Rincon de Bosa"",""El Rodeo"",""El Rubi"",""El Sauce"",""Escocia IX"",""Escocia V"",""Escocia VI Sectores I"",""II"",""III"",""Escocia VII"",""Finca La Esperanza"",""Holanda"",""Holanda I Sector"",""Holanda II Sector"",""Holanda III Sector"",""Holanda Sector Caminito"",""Hortelanos de Escocia"",""Jorge Uribe Botero"",""La Concepcion"",""La Concepcion II Sector"",""La Dulcinea"",""La Esmeralda"",""La Esperanza I"",""La Esperanza II Sector"",""La Estanzuela"",""La Estanzuela II"",""La Florida IV Sector"",""La Fontana de Bosa La Libertad"",""La Fontana I y II"",""La Independencia"",""La Independencia II Sector"",""La Libertad"",""La Libertad II"",""La Libertad III"",""La Libertad IV"",""La Libertad Sector Magnolia"",""La Magnolia II"",""La Maria"",""La Palma"",""La Paz"",""La Paz II Sector"",""La Paz III"",""La Paz San Ignacio Las Vegas"",""La Paz San Ignacio Sec. La Esperanza"",""La Portada"",""La Portada II"",""La Portada III Sector"",""La Portadita"",""La Veguita"",""la Veguita II"",""La Veguita IV Sector"",""Las Margaritas III"",""Las Margaritas Sect. I y II"",""Las Vegas"",""Los Heroes"",""Los Ocales"",""Los Sauces"",""Los Sauces Sector Cedro"",""Miami"",""New Jersey"",""Ntra. Sra. De La Paz – La Esperanza"",""Ntra. Sra. De La Paz IV Sec."",""Ntra. Sra. De La Paz Villa Esmeralda"",""Ntra. Sra. De La Paz y Otros"",""Nueva Escocia"",""Nueva Esperanza"",""Porvenir La Concepcion"",""Porvenir Parc. 17ª y 17B"",""Porvenir Parc. 33"",""Potreritos"",""San Antonio"",""San Antonio de Bosa"",""San Antonio de Escocia"",""San Antonio de Escocia II"",""San Bernardino"",""San Bernardino Sector II"",""San Bernardino Sector Protrerito"",""San Bernardino Sector Villa Emma"",""San Diego La Paz IV Sector"",""San Fernando N. S. de La Paz"",""San Javier"",""San Joaquin"",""San Jorge"",""San Jorge II"",""San Juanito"",""San Luis"",""San Luis II"",""San Martin"",""San Pedro"",""San Pedro II"",""San Pedro II Sector A"",""San Pedro Sector C"",""Santa Ines"",""Sauces II"",""Siracuza"",""Siracuza II"",""Tokio"",""Vegas de Santana"",""Vereda El Porvenir Sector Brasil"",""Villa Carolina"",""Villa Clemencia"",""Villa Clemencia Sector Tierra Grata"",""Villa Colombia"",""Villa Colombia II"",""Villa de Los Comuneros"",""Villa de Suaita"",""Villa Magda"",""Villa Magnolia"",""Villa Natalia"",""Villa Nohora"",""Villa Nohora II"",""Villa Nohora III"",""Villa Sonia I"",""Villa Sonia II"",""Villas del Progreso"",""Villas del Velero"",""Antonio Narino"",""Caldas"",""Campo Hermoso"",""Canaveralejo"",""El Anhelo"",""El Corzo"",""El Porvenir"",""El Porvenir III"",""El Porvenir Parcela 23"",""El Porvenir San Luis"",""El Porvenir Sector Inducas"",""El Recuerdo"",""El Recuerdo de Santa Fe"",""El Regalo"",""El Regalo II"",""La Arboleda"",""La Cabana"",""La Granjita"",""La Suerte"",""La Union"",""Las Margaritas"",""Los Centauros"",""Osorio X"",""Osorio XIII"",""Parcela El Porvenir"",""San Bernardino II"",""San Miguel"",""San Pablo"",""Santa Barbara"",""Santa Fe"",""Santa Fe I y II"",""Santa Fe III Sector"",""Santa Isabel"",""Santafe de Bosa"",""Urbanizacion Caldas"",""Villa Alegre"",""Villa Alegria"",""Villa Esmeralda"",""Villa Karen"",""El Matorral"",""El Matorral de San Bernardino"",""El Triunfo"",""El Triunfo de San Bernardino"",""La Vega de San Bernardino Bajo"",""Potreritos"",""SAn Bernardino Sector Potrerito"",""San Bernardino XIX"",""San Bernardino XVI"",""San Bernardino XVII"",""San Bernardino XVIII"",""San Bernardino XXII"",""San Bernardino XXV"")"
Chapinero,"(""Cataluna"",""Chapinero Central"",""Chapinero Norte"",""Marly"",""Sucre"",""Antiguo Country"",""Chico Norte"",""Chico Norte II"",""Chico Norte III"",""Chico Occidental"",""El Chico"",""El Retiro"",""Espartillal"",""La Cabrera"",""Lago Gaitan"",""Porciuncula"",""Quinta Camacho"",""Bellavista"",""Chico Alto"",""Chico Reservado"",""El Nogal"",""El Refugio"",""La Cabrera"",""Los Rosales"",""Seminario"",""Toscana"",""Bosque Calderon"",""Bosque Calderon Tejada"",""Chapinero Alto"",""El Castillo"",""El Paraiso"",""Emaus"",""Granada"",""Ingemar"",""Juan XXIII"",""La Salle"",""Las Acacias"",""Los Olivos"",""Maria Cristina"",""Mariscal Sucre"",""Nueva Granada"",""Palomar"",""Pardo Rubio"",""San Martin de Porres"",""Villa Anita"",""Villa del Cerro"",""La Esperanza Nororiental"",""La Surena"",""San Isidro"",""San Luis Altos del Cabo"")"
Ciudad Bolivar,"(""Arborizadora Baja"",""Atlanta"",""Coruna"",""El Chircal Sur"",""El Esquinero"",""La Playa"",""La Playa II"",""Madelena"",""Rafael Escamilla"",""Santa Helena"",""Santa Rosa Sur"",""Urbanizacion Protecho Bogota"",""Urbanizacion Atlanta"",""Urbanizacion Casa Larga"",""Urbanizacion Guaitiquia"",""Urbanizacion La Coruna"",""Villa Helena"",""Central de Mezclas"",""Las Manas"",""Mochuelo Oriental"",""Verdad El Pedregal – La Lira"",""Villa Jaqui"",""Acapulco I"",""Arabia"",""Bogota Sector Tequendama"",""Bogota Sur – La Esperanza"",""Buenos Aires"",""Buenos Aires II"",""Buenos Aires III Sector"",""Casa de Teja"",""Cedritos del Sur"",""Divino Nino"",""El Consuelo"",""El Minuto de Maria"",""El Mochuelo"",""El Recuerdo Sur"",""El Reflejo II"",""El Tesorito"",""El Tesoro"",""El Triganl"",""Florida Sur Alto"",""Ines Elvira"",""La Cumbre"",""Los Duques"",""Minuto de Maria"",""Monterrey"",""Ocho de Diciembre"",""Parcelacion Bogota"",""Potreritos"",""Quiba"",""Quiba Urbano"",""Republica de Venezuela"",""Republica del Canada"",""Rincon del Diamante"",""San Joaquin El Vaticano"",""San Joaquin Vaticano – Galpon"",""San Joaquin Vaticano – Vergel"",""San Rafael Sur"",""Sotavento"",""Urbanizacion Buena Vista"",""Urbanizacion Cerros del Sur"",""Urbanizacion Chicala"",""Urbanizacion El Limonar"",""Urbanizacion Mirador de San Carlos"",""Urbanizacion Urapanes del Sur"",""Villa Diana Lopez"",""Villas de San Joaquin"",""Bella Estancia"",""Barlovento"",""Bonanza Sur"",""Caracoli"",""Casa Loma II"",""Casgrandes"",""Casaloma"",""Casavianca"",""Conjunto Residencial La Valvanera"",""Cooperativa Ismael Perdomo"",""El Cerro del Diamante"",""El Ensueno"",""El Penon del Cortijo"",""El Porvenir de la Estancia"",""El Porvenir II Etapa"",""El Porvenir Zona C"",""El Rincon del Porvenir"",""El Rosal"",""Espinos I"",""Espinos III Sector"",""Galicia"",""Ismael Perdomo"",""La Carbonera"",""La Carbonera II"",""La Estancia"",""La Primavera"",""La Union – Divino Nino"",""Los Tres Reyes – I Etapa"",""Maria Cano"",""Mirador de La Estancia"",""Mirador de La Primavera"",""Penon del Cortijo III Sector"",""Perdomo Alto"",""Primavera Sur-Occ."",""Proyecto Rafael Escamilla"",""Rincon de Galicia"",""Rincon de La Estancia"",""Rincon de la Valvanera"",""San Antonio del Mirador"",""San Isidro"",""San Isidro II"",""San Isidro Sector Carboneras"",""San Isidro Sector Cerrito I"",""San Isidro Sector Cerrito II"",""San Isidro Sector Cerrito III"",""SAn Rafael del Alto de La Estancia"",""Santa Viviana"",""Santa Viviana – Sect. Vista Hermosa"",""Santo Domingo"",""Sierra Morena"",""Tres Reyes II Sector"",""Urbanizacion Balmoral II"",""Urbanizacion Balmoral Rincon de La Valvanera"",""Urbanizacion Barlovento"",""Urbanizacion Calabria"",""Urbanizacion El Arroyuelo – Predio El Almacen"",""Urbanizacion El Ensueno"",""Urbanizacion Galicia"",""Urbanizacion India Catalina"",""Urbanizacion La Estancia"",""Urbanizacion La Llanada"",""Urbanizacion La Riviera del Sur"",""Urbanizacion Las Huertas"",""Urbanizacion Penon del Cortijo"",""Urbanizacion Rincon de la Valvanera Mz. 7"",""Arborizadora Alta"",""Bellavista"",""Empresa Comunitaria Manuela Beltran"",""Florida Sur Alto"",""Jerusalen"",""Jerusalen Sector Bellavista – La Y"",""Jerusalen Sector El Plan"",""Jerusalen Sector La Isla"",""Jerusalen Sector Las Brisas"",""Jerusalen Sector Media Loma"",""Jerusalen Sector Nueva Argentina"",""Jerusalen Sector Paraiso"",""Jerusalen Sector Plan Canteras"",""Jerusalen Sector Potosi"",""Jerusalen Sector Pradera – La Esperanza"",""Jerusalen Sector Santa Rosita – Las Vegas"",""Jerusalen Sector Tanque Laguna"",""La Pradera"",""Las Brisas"",""Las Vegas de Potosi"",""Potosi"",""Urbanizacion Bosques de Candelaria"",""Urbanizacion Candelaria La Nueva II Sector"",""Urbanizacion La Milagrosa"",""Verona"",""Villa Candelaria"",""Villas de Bolivar"",""Acacia IV"",""Alfa"",""Altos de Jalisco"",""alvaro Bernal Segura"",""Bella Flor"",""Bella Flor Sur"",""Bella Vista Lucero Alto"",""Brisas del Volador"",""Buenavista Sector A"",""Ciudad Milagros"",""Compartir"",""Cordillera Sur"",""Domingo Lain I"",""Domingo Lain II – El Bosque"",""Domingo Lain III"",""El Bosque"",""El Castillo"",""El Mirador"",""El Paraiso"",""El Satelite"",""El Triunfo Sur"",""Estrella del Sur"",""Florida del Sur"",""Gibraltar Sur"",""Gibraltar I y II"",""Juan Pablo II"",""La Alameda"",""La Alameda II Sector"",""La Cabana"",""La Escala III"",""La Esmeralda Sur"",""La Estrella Sector Lagos"",""La Torre"",""Las Delicias del Sur"",""Las Manitas"",""Las Manitas II Sector"",""Los Alpes"",""Los Andes Sector 5 Nutibara"",""Lucero Alto"",""Lucero Bajo Corporacion San Isidro"",""Lucero Bajo Sect. La Conquista"",""Lucero Medio"",""Lucero Sur Bajo"",""Marandu"",""Meissen"",""Mexico"",""Mirador Nutibara"",""Naciones Unidas – Chaparro"",""Naciones Unidas – Sta. Rosa"",""Nueva Colombia"",""Rocio Altos del Sur"",""San Luis Altos de Jalisco"",""Tabor – Altaloma"",""Tierra Linda"",""Urbanizacion Compartir"",""Urbanizacion El Preciso"",""Urbanizacion Kalamary"",""Urbanizacion La Alameda"",""Urbanizacion La Escala"",""Urbanizacion Las Quintas del Sur"",""Urbanizacion La Serrania del Sur"",""Villa Gloria"",""Villa Gloria – Las Manitas"",""Villas del Diamante"",""Villas del Progreso"",""Vista Hermosa"",""Vista Hermosa Mz. 77ª"",""79ª"",""81ª"",""82"",""82ª"",""84ª"",""Vista Hermosa Sector Capri"",""Vista Hermosa Sector San Carlos y El Triangulo"","" Barranquitos"",""Brazuelos Santo Domingo"",""El Mochuelo II"",""Esmeralda"",""Lagunitas"",""Paticos"",""Acacia III Parte Baja"",""Acacias Sur"",""Candelaria La Nuea"",""Colmena"",""Colmena III"",""Gibraltar I y II"",""Juan Jose Rondon – La Casona"",""Juan Jose Rondon"",""Las Acacias"",""Millan Los Sauces"",""Puerta Al Llano"",""San Fernando"",""San Francisco"",""San Luis"",""Santa Ines La Acacia"",""Sauces – Hortalizas – Recuerdo"",""Candelaria La Nueva"",""Villas de Bolivar"")"
Engativa,"(""Bochica II"",""Bolivia"",""Ciudadela Colsubsidio"",""El Cortijo"",""El Dorado"",""Boyaca"",""El Carmelo"",""El Refugio"",""Florencia"",""Florida Blanca"",""La Almeria"",""La Granja"",""La Soledad Norte"",""Los Pinos Florencia"",""Maratu"",""Paris"",""Santa Helenita"",""Santa Maria del Lago"",""Santa Rosita"",""Tabora"",""Veracruz"",""Zarzamora"",""Alameda"",""Danubio Centauros"",""El Cedro"",""El Mirador"",""El Muelle"",""El Palmar"",""El Triangulo"",""El Verdun"",""Engativa Centro"",""Granjas El Dorado"",""La Cabana"",""La Esperanza"",""La Faena"",""La Riviera"",""La Tortigua"",""Las Mercedes"",""Las Palmas"",""Linterama"",""Los Laureles"",""Los Laureles Sabanas El Dorado"",""Marandu"",""Porvenir"",""Puerto Amor Playas del Jaboque"",""San Antonio Norte"",""San Basilio"",""San Jose Obrero"",""Santa Librada"",""Villa Claver I y II"",""Villa Constanza"",""Villa El Dorado Norte"",""Villa Gladys"",""Villa Mary"",""Villa Sandra"",""Villa Teresita"",""Villas El Dorado San Antonio II Sector"",""Vina del Mar"",""Acapulco"",""Bellavisa Occidental"",""Bonanza"",""Bosque Popular"",""Cataluna"",""Ciudad de Honda"",""El Dorado San Joaquin"",""El Guali"",""El Laurel"",""El Paseo"",""Estrada"",""La Cabana"",""La Estradita"",""La Europa"",""La Marcela"",""La Reliquia"",""Las Ferias"",""Metropolis"",""Palo Blanco"",""San Joaquin"",""Santo Domingo"",""alamos"",""alamos Norte"",""Bosques de Mariana"",""El Cedro"",""Garces Navas"",""Los angeles"",""Molinos de Viento"",""Plazuelas del Virrey"",""San Basilio"",""Santa Monica"",""Villa Amalia"",""Villa Sagrario"",""Villas de Granada"",""Villas de Madrigal"",""Villas El Dorado San Antonio"",""El Salitre Luis Maria Fernandez"","" Los alamos"",""San Ignacio"","" Andalucia"",""Bochica"",""Ciudad Bachue"",""Copetroco La Tropical"",""El Portal del Rio"",""La Espanola"",""La Palestina"",""La Serena"",""Los Cerecitos"",""Los Cerezos"",""Luis Carlos Galan"",""Meissen – Sidauto"",""Minuto de dios"",""Morisco"",""Paris Gaitan"",""Primavera Norte"",""Quirigua"",""El Encanto"",""El Lujan"",""El Real"",""Los Monjes"",""Normandia"",""Normandia Occidental"",""San Ignacio"",""San Marcos"",""Santa Cecilia"",""Villa Luz"")"
Fontibon,"(""El Bogotano"",""El Jardin"",""La Rosita"",""Puerta de Teja"",""San Jose"",""Veracruz"",""Carlos Lleras"",""La Esperanza Norte"",""Salitre Nor-Occidental"",""Sausalito"",""Arabia"",""Atahualpa"",""Bahia Solano"",""Batavia"",""Belen"",""Betania"",""Centenario"",""Cofradia"",""El Carmen"",""El Cuco"",""El Cuco (La Estancia)"",""El Guadual"",""El Jordan"",""El Pedregal"",""El Rubi"",""El Tapete"",""Ferrocaja"",""Flandes"",""Fontibon Centro"",""La Cabana"",""La Giralda"",""La Laguna"",""Las Flores"",""Palestina"",""Rincon Santo"",""Salamanca"",""San Pedro Los Robles"",""Torcoroma"",""Unidad Residencial Montecarlo"",""Valle Verde"",""Veracruz"",""Versalles"",""Villa Beatriz"",""Villa Carmenza"",""Villemar"",""Ambalema"",""Bohios"",""El Portal"",""El Refugio"",""El Triangulo"",""Florencia"",""Jerico"",""La Aldea"",""La Estacion"",""La Perla"",""La Zelfita"",""Las Brisas"",""Prados de la Alameda"",""Puente Grande"",""San Pablo"",""Selva Dorada"",""Villa Liliana"",""El Franco"",""Granjas de Techo"",""Montevideo"",""Paraiso Bavaria"",""Vision Semindustrial"",""Bosque de Modelia"",""Baleares"",""Capellania"",""El Rincon de Modelia"",""Fuentes del Dorado"",""La Esperanza"",""Mallorca"",""Modelia"",""Modelia Occidental"",""Santa Cecilia"",""Tarragona"",""Moravia"",""Kazandra"")"
Kennedy,"(""Agrupacion Pio X"",""Agrupacion Multifamiliar Villa Emilia"",""Alferez Real"",""Americas Central"",""Americas Occidental I"",""II y III Etapa"",""Antiguo Hipodromo de Techo II Etapa"",""Carvajal II Sector"",""Centroamericas"",""Ciudad Kennedy"",""Conjunto Res. El Rincon de Mandalay"",""Floresta Sur"",""Fundadores"",""Glorieta de Las Americas"",""Hipotecho"",""Igualdad I Sector"",""Igualdad II Sector"",""La Floresta"",""La Igualdad"",""La Llanura"",""La Llanura Manzana P"",""Las Americas"",""Las Americas Sector Galan"",""Los Sauces"",""Mandalay Etapa A Sector II"",""Mandalya I Sector"",""Mandalay III Sector"",""Multifamiliares Villa Adriana Mz. H"",""Nueva Marsella I"",""II y III Sector"",""Provivienda Oriental"",""Santa Rosa de Carvajal"",""Urb. Los Laureles (Sauces-Robles)"",""Villa Adriana"",""Villa Claudia"",""Aloha"",""Alsacia"",""aticos de Las Americas"",""Cooperativa de Suboficiales"",""El Condado de La Paz"",""Los Pinos de Marsella"",""Lucitania"",""Marsella"",""Marsella Sector Norte I y II Etapa"",""Multifamiliares La Paz El Ferrol"",""Nuestra Senora de La Paz"",""San Jose Occidental"",""Unidad Oviedo"",""Urbanizacion Bavaria"",""Villa Alsacia"",""Calandaima"",""Conjunto Residencial Prados de Castilla I"",""II y III"",""Galan"",""Osorio"",""Santa Fe del Tintal"",""Tintala"",""Urbanizacion Unir Uno (Predio Calandaima)"",""Agrupacion de Vivienda Talavera (Talavera de la Reina)"",""Alquerias de La Fragua"",""Alquerias de La Fragua Sect. El Paraiso"",""Alquerias de La Fragua Villa Nueva"","""",""Alquerias de La Fragua Sec. Santa Yolanda"",""Bombay"",""Carimagua I Sector"",""Carvajal"",""Carvajal Osorio"",""Carvajal Techo I Sector"",""Condado El Rey"",""Delicias"",""Desarrollo Nueva York"",""El Pencil"",""El Progreso I II Sector"",""Gerona"",""Guadalupe"",""La Campina"",""La Chucua"",""Las Torres"",""Los Cristales"",""Lucerna"",""Milenta II y III Sector"",""Multifamiliar Carimagua"",""Nueva York"",""Provivienda"",""Provivienda Occidental"",""Salvador Allende"",""San Andres"",""San Andres II Sector"",""Super Manzana 6 A"",""Tayrona Comercial"",""Urbanizacion Carvajal"",""Urbanizacion Las Delicias"",""Urbanizacion Nueva Delicias"",""Urbanizacion Renania"",""Valencia La Chucua"",""Villa Nueva"",""Agrupacion de Vivienda Pio XII"",""Aloha Sector Norte"",""Andalucia"",""Andalucia II Sector"",""Bavaria Techo II Sector I y II Etapa"",""Bosques de Castilla"",""Ciudad Don Bosco"",""Ciudad Favidi"",""Ciudad Techo 1"",""El Castillo"",""El Condado de la Paz"",""El Portal de las Americas"",""El Rincon de Castilla"",""El Rincon de los angeles"",""El Tintal"",""El Vergel"",""El Vergel Lote 4"",""El Vergel Occidental"",""Lagos de Castilla"",""Las Dos Avenidas I Etapa"",""La Dos Avenidas II Etapa"",""Monterrey"",""Multifamiliares El Ferrol"",""Nuestra Senora de La Paz"",""Osorio"",""Oviedo"",""Pio XII"",""San Jose Occidental"",""San Juan del Castillo"",""Santa Catalina Sector I y II"",""Santa Cecilia"",""Urbanizacion Bavaria"",""Urbanizacion Castilla"",""Urbanizacion Castilla La Nueva"",""Urbanizacion Castilla Los Madriles"",""Urbanizacion Castilla Los Mandriles"",""Urbanizacion Castilla Real"",""Urbanizacion Castilla Reservado"",""Urbanizacion Catania"",""Urbanizacion Catania Castilla"",""Urbanizacion Pio XII"",""Valladolid"",""Villa Alsacia"",""Villa Castilla"",""Villa Galante"",""Villa Liliana"",""Villa Mariana"",""Vision de Colombia"",""Amparo Canizares"",""Chucua de La Vaca"",""El Amparo"",""El Llanito"",""El Olivo"",""El Portal de Patio Bonito"",""El Saucedal"",""La Concordia"",""La Esperanza"",""La Maria"",""Llano Grande"",""Maria Paz"",""Pinar del Rio"",""Pinar del Rio II"",""San Carlos"",""Villa de La Loma"",""Villa de La Loma II Sector Mz. 31 y 32"",""Villa de La Torre"",""Villa Emilia Amparo II Sector"",""Villa Nelly"",""Villa Nelly – Los Alisos"",""Vista Hermosa (Portal Patio Bonito)"",""Alfonso Lopez Michelsen"",""Britalita"",""Calarca"",""Calarca II"",""Casa Blanca Sur"",""Class"",""El Almenar"",""El Carmelo"",""Gran Britalia"",""La Esperanza"",""La Maria"",""Pastranita I Sector"",""Santa Maria de Kennedy"",""Vegas de Santa Ana"",""Villa Andrea"",""Villa Anita"",""Villa Clemencia Sector Villa Grata"",""Villa Nelly"",""Villa Zarzamora"",""Villas de Kennedy"",""Abraham Lincoln"",""Agrupacion de Vivienda El Paraiso"",""Agrupacion Francisco Jose de Caldas"",""Casa Blanca I Etapa"",""Casa Blanca II Etapa"",""Centro Civico Ciudad Kennedy"",""Ciudad Kennedy Central"",""Ciudad Kennedy Norte"",""Ciudad Kennedy Occidental"",""Ciudad Kennedy Oriental"",""Ciudad Kennedy Super Mz. 10"",""Ciudad Kennedy Super Mz. 13"",""Ciudad Kennedy Sur"",""Conjunto Residencial Manuel Mejia"",""El Descanso"",""Kennedy Norte Super Mz. 11"",""Kennedy Occidental Mz. 14"",""Kennedy Occidental Mz. 15"",""Kennedy Oriental Super Mz. 2"",""Kennedy Oriental Super Mz. 3"",""Kennedy Oriental Super Mz. 5"",""Kennedy Oriental Super Mz. 6"",""Kennedy Oriental Super Mz. 7"",""Kennedy Supermanzana I"",""La Giraldilla"",""La Giraldilla II"",""Miraflores Kennedy"",""Multifamiliar Techo"",""Nuevo Kennedy"",""Nuevo Kennedy El Descanso"",""Onasis"",""Pastrana"",""Supermanzana 16"",""Supermanzana 9B"",""Techo"",""Unidad Residencial Ayacucho 2 S. Mz."",""Urbanizacion Arbolete Casablanca"",""Urbanizacion Banderas"",""Urbanizacion Experimental Kennedy"",""Urbanizacion Kennedy Super Mz. 8"",""Urbanizacion Mandalya Etapa C Zona 73"",""Urbanizacion Sinai"",""Las Margaritas"",""Osorio XI"",""Osorio XII"",""Altamar"",""Avenida Cundinamarca"",""Barranquillita"",""Bellavista"",""Campo Hermoso"",""Ciudad de Cali"",""Ciudad Galan"",""Ciudad Granada"",""Dindalito"",""El Paraiso"",""El Patio III Sector"",""El Rosario"",""El Rosario III"",""El Saucedal"",""El Triunfo"",""Horizonte Occidente"",""Jazmin Occidental"",""La Rivera"",""La Rivera II Sector"",""Las Acacias"",""Las Brisas"",""Las Palmeras"",""Las Palmitas"",""Las Vegas"",""Los Almendros"",""Nueva Esperanza"",""Parques del Tintal (Campo Alegre Londono)"",""Patio Bonito I"",""Patio Bonito II Sector"",""Puente La Vega"",""San Dionisio"",""San Marino"",""Santa Monica"",""Sector II Altamar"",""Sumapaz"",""Tayrona"",""Tintalito"",""Tintalito II"",""Tocarema"",""Urbanizacion Dindalito I Etapa"",""Villa Alexandra"",""Villa Andres"",""Villa Hermosa"",""Villa Mendoza"",""Acip"",""Alameda de Timiza"",""Alfonso Montana"",""Berlin"",""Boita"",""Boita I Sector"",""Boita II Sector"",""Casa Loma"",""Catalina"",""Catalina II"",""El Comite"",""El Jordan"",""El Jordan II y III"",""El Palenque"",""El Porvenir II Sector"",""El Porvenir Mz. A"",""El Rubi"",""Jacqueline"",""Juan Pablo I"",""La Cecilia"",""La Unidad"",""Lago Timiza I y II Etapa"",""Las Luces"",""Morabia II"",""Nueva Timiza"",""Nuevo Timiza"",""Onassis"",""Pastrana"",""Pastranita II Sector"",""Perpetuo Socorro"",""Perpetuo Socorro II"",""Prados de Kennedy"",""Renania Urapanes"",""Roma"",""Roma II (Urb. Bertha Hernandez de Ospina)"",""Sagrado Corazon"",""San Martin de Porres"",""Santa Catalina"",""Timiza"",""Tonoli"",""Tocarema"",""Tundama"",""Urbanizacion Bertha Hernandez de Ospina"",""Urbanizacion Catalina"",""Urbanizacion El Parque"",""Urbanizacion Santa Luisa"",""Vasconia II"",""Villa de Los Sauces"",""Villa Rica"",""Santa Paz – Santa Elvira"",""Vereda El Tintal"")"
